15Th August 1993 Mp3 Songs,1993,Bollywood,"Kumar Sanu, Alka Yagnik",Kumar Sanu,"Kumar SanuKumar Sanu, Alka Yagnik",None
Aadmi 1993 Mp3 Songs,1993,Bollywood,"Kumar Sanu, Kavita Krishnamurthy",Kumar Sanu,"Kumar SanuKumar Sanu, Kavita Krishnamurthy",None
Aadmi Khilona Hai 1993 Mp3 Songs,1993,Bollywood,Alka Yagnik,Kumar Sanu,Kumar SanuAlka Yagnik,None
Aaina 1993 Mp3 Songs,1993,Bollywood,"Lata Mangeshkar, Asha Bhosle, Suresh Wadkar",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Asha Bhosle, Suresh Wadkar",None
Aaja Meri Jaan 1993 Mp3 Songs,1993,Bollywood,"Nikhil, Vinay, Amar-Utpal, S. P. Balasubrahmanyam",Nikhil,"NikhilNikhil, Vinay, Amar-Utpal, S. P. Balasubrahmanyam",Anthem
Aankhen 1993 Mp3 Songs,1993,Bollywood,"Kumar Sanu, Sadhana Sargam",Kumar Sanu,"Kumar SanuKumar Sanu, Sadhana Sargam",None
Aashik Aawara 1993 Mp3 Songs,1993,Bollywood,"Udit Narayan, Alka Yagnik",Udit Narayan,"Udit NarayanUdit Narayan, Alka Yagnik",Country
Anari 1993 Mp3 Songs,1993,Bollywood,Udit Narayan,Udit Narayan,Udit NarayanUdit Narayan,Country
Anmol 1993 Mp3 Songs,1993,Bollywood,"Lata Mangeshkar, Udit Narayan",Lata Mangeshkar,"Lata MangeshkarLata Mangeshkar, Udit Narayan",None
Anth 1993 Mp3 Songs,1993,Bollywood,"Abhijeet, Kavita Krishnamurthy",Abhijeet,"AbhijeetAbhijeet, Kavita Krishnamurthy",None
Ashaant 1993 Mp3 Songs,1993,Bollywood,Kavita Krishnamurthy,Abhijeet,AbhijeetKavita Krishnamurthy,None
Aulad Ke Dushman 1993 Mp3 Songs,1993,Bollywood,"Abhijeet, Jolly Mukherjee, Jyoti",Abhijeet,"AbhijeetAbhijeet, Jolly Mukherjee, Jyoti",None
Aye Meri Bekhudi 1993 Mp3 Songs,1993,Bollywood,"Anuradha Paudwal, Suresh Wadkar",Anuradha Paudwal,"Anuradha PaudwalAnuradha Paudwal, Suresh Wadkar",Anthem
Baazigar 1993 Mp3 Songs,1993,Bollywood,"Vinod Rathod, Alka Yagnik",Vinod Rathod,"Vinod RathodVinod Rathod, Alka Yagnik",Pop
Balmaa 1993 Mp3 Songs,1993,Bollywood,"Asha Bhosle, Kumar Sanu",Asha Bhosle,"Asha BhosleAsha Bhosle, Kumar Sanu",Soul
Bedardi 1993 Mp3 Songs,1993,Bollywood,Vinod Rathod,Asha Bhosle,Asha BhosleVinod Rathod,Soul
Bomb Blast 1993 Mp3 Songs,1993,Bollywood,Bappi Lahiri,Asha Bhosle,Asha BhosleBappi Lahiri,Soul
Chahoonga Main Tujhe 1993 Mp3 Songs,1993,Bollywood,Mohammed Rafi,Asha Bhosle,Asha BhosleMohammed Rafi,Soul
Chandra Mukhi 1993 Mp3 Songs,1993,Bollywood,"S. P. Balasubrahmanyam, Kavita Krishnamurthy",S. P. Balasubrahmanyam,"S. P. BalasubrahmanyamS. P. Balasubrahmanyam, Kavita Krishnamurthy",Soul
Chor Aur Chand 1993 Mp3 Songs,1993,Bollywood,"Nikhil-Vinay, S. P. Balasubrahmanyam, Anuradha Paudwal",Nikhil-Vinay,"Nikhil-VinayNikhil-Vinay, S. P. Balasubrahmanyam, Anuradha Paudwal",None
Dalaal 1993 Mp3 Songs,1993,Bollywood,"Bappi Lahiri, Kavita Krishnamurthy, Kumar Sanu",Bappi Lahiri,"Bappi LahiriBappi Lahiri, Kavita Krishnamurthy, Kumar Sanu",Instrumental
Damini 1993 Mp3 Songs,1993,Bollywood,"Kumar Sanu, Sadhana Sargam",Kumar Sanu,"Kumar SanuKumar Sanu, Sadhana Sargam",None
Darr 1993 Mp3 Songs,1993,Bollywood,"Alka Yagnik, Sudesh Bhosle, Vinod Rathod, Devaki Pandit",Alka Yagnik,"Alka YagnikAlka Yagnik, Sudesh Bhosle, Vinod Rathod, Devaki Pandit",Makeover
Dhanwan 1993 Mp3 Songs,1993,Bollywood,"Anand-Milind, Suresh Wadkar",Anand-Milind,"Anand-MilindAnand-Milind, Suresh Wadkar",Pop
Dhartiputra 1993 Mp3 Songs,1993,Bollywood,"Nadeem, Shravan, Alka Yagnik",Nadeem,"NadeemNadeem, Shravan, Alka Yagnik",Soul
Dil Hai Betaab 1993 Mp3 Songs,1993,Bollywood,"Udit Narayan, Alka Yagnik",Udit Narayan,"Udit NarayanUdit Narayan, Alka Yagnik",Country
Dil Ki Baazi 1993 Mp3 Songs,1993,Bollywood,Amit Kumar,Udit Narayan,Udit NarayanAmit Kumar,Country
